 CH2CNH2    H                                           CH2CHNH2                                                3.487e-27 -1.300e+00  0.000e+00  2.000e+00  1.000e+02  2.026e-10  2.000e-01  0.000e+00  2.000e+00  1.000e+02  5.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CHCNH2     H                                           CHCHNH2                                                 4.859e-28 -4.664e+00  1.902e+03  2.000e+00  1.000e+02  3.861e-11  1.266e+00  1.363e+03  2.000e+00  1.000e+02  7.878e-01 -1.021e+04  1.000e+30  1.000e+18  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  5.000e+00  1.000e+00  1.000e+00  3.000e+00  2.000e+00  1.000e+00
 CHCNH2     H                                           CH2CNH2                                                 4.859e-28 -4.664e+00  1.902e+03  2.000e+00  1.000e+02  3.861e-11  1.266e+00  1.363e+03  2.000e+00  1.000e+02  7.878e-01 -1.021e+04  1.000e+30  1.000e+18  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  5.000e+00  1.000e+00  1.000e+00  3.000e+00  2.000e+00  1.000e+00
 CH3NHCH2   H                                           CH3NHCH3                                                1.590e-24 -7.080e+00  3.364e+03  2.000e+00  1.000e+02  3.047e-09 -9.900e-01  7.951e+02  2.000e+00  1.000e+02  8.422e-01  1.250e+02  2.219e+03  6.882e+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SO2        O3P                                         SO3                                                     3.523e-30 -3.000e+00  2.400e+03  2.000e+00  1.000e+02  6.094e-13  0.000e+00  8.499e+02  2.000e+00  1.000e+02  4.420e-01  3.160e+02  7.442e+03  1.000e+18  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.300e+00  1.000e+00  1.000e+01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SO2        H                                           HSO2                                                    5.606e-31 -3.690e+00  2.410e+03  2.000e+00  1.000e+02  2.315e-11  6.200e-01  1.820e+03  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SO2        H                                           HOSO                                                    9.172e-28 -4.360e+00  5.439e+03  2.000e+00  1.000e+02  9.200e-12  9.600e-01  4.320e+03  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SO2        H                                           SO         OH                                           4.500e-08 -2.300e+00  1.558e+04  2.000e+00  1.000e+02  1.110e+09  2.770e+00  1.049e+04  2.000e+00  1.000e+02  1.000e+00  2.720e+02  2.762e+04  1.000e+18  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SO         O3P                                         SO2                                                     5.069e-31 -1.540e+00  0.000e+00  2.000e+00  1.000e+02  5.314e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+01  1.500e+00  1.000e+00  1.000e+01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SO         OH                                          HOSO                                                    6.305e-29 -3.480e+00  4.881e+02  2.000e+00  1.000e+02  4.487e-11  5.000e-01 -2.013e+02  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H2S        S                                           H2S2                                                    6.723e-31 -1.612e+00  8.419e+02  2.000e+00  1.000e+02  1.759e-13  1.300e+00 -2.405e+02  2.000e+00  1.000e+02  5.000e-01  7.260e+02  7.260e+02  1.000e+18  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.300e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SH         O2                                          HSOO                                                    8.971e-34 -2.010e+00  1.006e+01  2.000e+00  1.000e+02  3.279e-10 -2.600e-01  1.500e+02  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SH         SH                                          H2S2                                                    3.658e-29 -4.943e+00  1.005e+03  2.000e+00  1.000e+02  1.798e-11  2.000e-01 -7.206e+02  2.000e+00  1.000e+02  1.000e+00  2.540e+02  2.373e+03  1.000e+18  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3        SO                                          CH3SO                                                   6.996e-31 -3.000e+00  0.000e+00  2.000e+00  1.000e+02  2.200e-12  9.000e-01  0.000e+00  2.000e+00  1.000e+02  6.000e-01  1.000e+03  7.000e+01  1.700e+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH2S       H                                           CH2SH                                                   4.023e-28 -4.820e+00  2.280e+03  2.000e+00  1.000e+02  1.195e-11  4.540e-01  8.052e+02  2.000e+00  1.000e+02  7.187e-01  1.030e+02  1.291e+03  4.160e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 CHS        H                                           CH2S                                                    1.602e-30 -2.570e+00  7.171e+02  2.000e+00  1.000e+02  2.797e-11  4.800e-01 -1.308e+02  2.000e+00  1.000e+02  7.824e-01  2.710e+02  2.755e+03  6.570e+03  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 CS         H2                                          CH2S                                                    4.718e-29 -3.420e+00  4.245e+04  2.000e+00  1.000e+02  3.710e-13  1.500e+00  4.006e+04  2.000e+00  1.000e+02  9.320e-01  1.970e+02  1.540e+03  1.030e+04  2.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  6.000e+00  1.000e+00  3.000e+00  2.000e+00  1.500e+00  1.000e+00
 CS         O3P                                         OCS                                                     3.969e-31 -2.790e+00  2.109e+03  2.000e+00  1.000e+02  2.262e-14  0.000e+00  1.200e+03  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.200e+01  1.000e+00  1.000e+00  3.600e+00  1.750e+00  1.000e+00
 CO         S                                           OCS                                                     3.969e-31 -2.790e+00  2.109e+03  2.000e+00  1.000e+02  2.262e-14  0.000e+00  1.200e+03  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.200e+01  1.000e+00  1.000e+00  3.600e+00  1.750e+00  1.000e+00
 CS         S                                           CS2                                                     1.731e-30 -2.420e+00  0.000e+00  2.000e+00  1.000e+02  7.037e-09 -4.300e+00  0.000e+00  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 SH         NO                                          HSNO                                                    2.476e-31 -2.500e+00  0.000e+00  2.000e+00  1.000e+02  2.657e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02  5.000e-01  1.000e-30  1.000e+30  1.000e+18  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 S          NO                                          SNO                                                     6.066e-33  0.000e+00 -9.410e+02  2.000e+00  1.000e+02  2.219e-10  2.400e-01  0.000e+00  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
