Reactions included in the STAND2020 chemical network,
compiled from Sources (A) and (B).

Source (A):
================================================================================
Title: A Chemical Kinetics Network for Lightning 
       and Life in Planetary Atmospheres 
Authors: Rimmer P.B., Helling C. 
Table: Stand2015 Chemical Kinetics Network
--------------------------------------------------------------------------------

Source (B):
================================================================================
Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
--------------------------------------------------------------------------------

================================================================================
Byte-by-byte Description of file
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 51 A38    ---     Reaction  Reaction
  52- 59 E8.2   ---     alpha     The {alpha} value
  61- 65 A5     ---   u_alpha     alpha units
  67- 72 F5.2   ---     beta      The {beta} value
  74- 81 F7.1   K       Ea        Ea (1)
  83- 86 A21    ---     Ref       Reference (2)
  87- 89 A3     ---     Flag      Flag (3)
--------------------------------------------------------------------------------

Note (1): Rate-constants --
    Rate constants for two-body reactions are calculated from alpha, beta, and 
    gamma according to the Kooij equation, with temperature normalised by 300K 
    in the beta term (consult Source (A): Section 2.1 on how the reaction 
    barrier is calculated). 

    Rate constants for reactions involving a third body follow the Lindemann 
    form. The reaction is first listed in the the network with alpha, beta, and 
    gamma values that correspond to the rate-constant in the low-pressure limit. 
    The reaction is then repeated with alpha, beta, and gamma values that 
    correspond to the rate-constant in the high-pressure limit (consult Source(A): 
    Section 2.2 on how the reaction barrier is calculated).

    * = Consult Source (A): Section 2.3 on how the reaction barrier is calculated.

Note (2): References --
   302 =  Baker et al. (1971);
   303 =  Atkinson et al. (1973);
   304 =  Yang et al. (2008);
   305 =  Hastie et al. (1976);
   306 =  Morrissey and Schubert(1963);
   307 =  Haworth et al. (2003);
   308 =  Yee Quee and Thynne(1968);
   309 =  Stothard et al. (1995);
   310 =  Sahetchian et al. (1987);
   311 =  Hidaka et al. (1990);
   312 =  Dong et al. (2005);
   313 =  Baker et al. (1969);
   314 =  Homann and Wellmann(1983);
   315 =  Frank et al. (1986);
   316 =  Bohland et al. (1985);
   317 =  Monks et al. (1993);
   318 =  Xu and Lin(2004);
   319 =  Huynh and Truong(2008);
   320 =  Gao and Macdonald(2006);
   321 =  Macdonald(2007);
   322 =  Sumathi and Peyerimhoff(1996);
   323 =  Glarborg et al. (1995);
   324 =  Bulatov et al. (1980);
   325 =  Mertens et al. (1991);
   326 =  Thaxton et al. (1997);
   327 =  Song et al. (2003);
   328 =  Mebel and Lin(1999);
   329 =  England and Corcoran(1975);
   330 =  Choi and Lin(2005);
   331 =  He et al. (1988);
   332 =  Glanzer and Troe(1975);
   333 =  Lloyd(1974);
   334 =  Vardanyan et al. (1974);
   335 =  Becker et al. (1992a);
   336 =  Carstensen and Dean(2008);
   337 =  Borisov et al. (1977);
   338 =  Trenwith(1960);
   339 =  Srinivasan et al. (2005);
   340 =  Canosa et al. (1979);
   341 =  Johnston(1951);
   342 =  Chan et al. (2001);
   343 =  Atkinson et al. (1989);
   344 =  Christie and Voisey(1967);
   345 =  Anastasi and Hancock(1988);
   346 =  Fifer(1975);
   347 =  Lindley et al. (1979);
   348 =  Hebrard et al. (2013);
   349 =  Laufer and Fahr(2004);
   350 =  Woods and Haynes(1994);
   351 =  Skinner and Ruehrwein(1959);
   352 =  Tabayashi and Bauer(1979);
   353 =  Metcalfe et al. (1983);
   354 =  Adachi et al. (1981);
   355 =  Hassinen et al. (1990);
   356 =  Ceursters et al. (2001);
   357 =  Baldwin et al. (1971);
   358 =  Saeys et al. (2006);
   359 =  Donovan et al. (1971);
   360 =  Seetula et al. (1986);
   361 =  Gray and Herod(1968);
   362 =  Hidaka et al. (2000);
   363 =  Thynne and Gray(1963a);
   364 =  Sanders et al. (1980);
   365 =  Musin and Lin(1998);
   366 =  Bravo-Perez et al. (2002);
   367 =  Daele et al. (1995);
   368 =  Kukui et al. (1995);
   369 =  Langer and Ljungstrom(1995);
   370 =  Biggs et al. (1995);
   371 =  Langer and Ljungstrom(1994);
   372 =  Sun et al. (2001);
   373 =  Peeters et al. (1995);
   374 =  Carl et al. (2003);
   375 =  Osborn(2003);
   376 =  Meyer and Hershberger(2005);
   377 =  Petty et al. (1993);
   378 =  Nizamov and Dagdigian(2003);
   379 =  Chakraborty and Lin(1999);
   380 =  Duran et al. (1988);
   381 =  Knyazev et al. (1996b);
   382 =  Levush et al. (1969);
   383 =  Canosa-Mas et al. (1988);
   384 =  Tanzawa and Gardiner(1980);
   385 =  Moses (priv. comm.);
   386 =  Adamson et al. (1997);
   387 =  Wallington and Japar(1989);
   388 =  Fahr and Stein(1989);
   389 =  Scherzer et al. (1987);
   390 =  Kelly and Heicklen(1978);
   391 =  Thynne and Gray(1963b);
   392 =  Moshkina et al. (1980);
   393 =  Edwards et al. (1966);
   394 =  Hoehlein and Freeman(1970);
   395 =  Laidler and McKenney(1964);
   396 =  Carstensen and Dean(2005);
   397 =  Horne and Norrish(1970);
   398 =  Herron(1988);
   399 =  Atkinson et al. (1992);
   400 =  Veyret et al. (1982);
   401 =  Young(1958);
   402 =  Gill et al. (1981);
   403 =  Zhu and Lin(2009);
   404 =  Hassinen et al. (1985);
   405 =  Tuazon et al. (1984);
   406 =  Edelbuttel-Einhaus et al. (1992);
   407 =  Song et al. (2005);
   408 =  Suzaki et al. (2007);
   409 =  Suzaki et al. (2006);
   410 =  Batt et al. (1977);
   411 =  Ray et al. (1996);
   412 =  Natarajan and Bhaskaran(1981);
   413 =  Klemm(1965);
   414 =  Hartmann et al. (1990);
   415 =  Wijnen(1960);
   416 =  Heicklen and Johnston(1962);
   417 =  Jensen(1982);
   418 =  Allison et al. (1996);
   419 =  Bryukov  et al. (2006);
   420 =  Husain and Lee(1988);
   421 =  Husain and Marshall(1986);
   422 =  Bolden et al. (1970);
   423 =  Laudenslager et al. (1974);
   424 =  Raksit and Warneck(1980a);
   425 =  Robertson et al. (1983);
   426 =  Dotan and Lindinger(1982);
